Dict Size, Benchmark
999998,0
1999998,0
2999998,0
3999998,0
4999998,0
5999998,0
6999998,0
7999998,0
8999998,0
9999998,0
10999998,0
11999998,0
12999998,0
13999998,0
14999998,0
15999998,0
16999998,0
17999998,0
18999998,0
19999998,0
20999998,0
21999998,0
22999998,0
23999998,0
24999998,0
25999998,0
26999998,0
27999998,0
28999998,0
29999998,0
30999998,0
31999998,0
32999998,0
33999998,0
34999998,0
35999998,0
36999998,0
37999998,0
38999998,0
39999998,0
40999998,0
41999998,0
42999998,0
43999998,0
44999998,0
45999998,0
46999998,0
47999998,0
48999998,0
49999998,0
