Dict Size, Benchmark
999999,0
1999999,0
2999999,0
3999999,0
4999999,0
5999999,0
6999999,0
7999999,0
8999999,0
9999999,0
10999999,0
11999999,0
12999999,0
13999999,0
14999999,0
15999999,0
16999999,0.000996113
17999999,0
18999999,0
19999999,0
20999999,0
21999999,0
22999999,0
23999999,0
24999999,0
25999999,0
26999999,0
27999999,0
28999999,0
29999999,0
30999999,0
31999999,0
32999999,0
33999999,0
34999999,0
35999999,0
36999999,0
37999999,0
38999999,0
39999999,0
40999999,0
41999999,0
42999999,0
43999999,0
44999999,0
45999999,0
46999999,0
47999999,0
48999999,0
49999999,0
